,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
10,10,10,10,10,10,10,10,639018,730271870050816000,2959505489,neutral,other,2016-05-11T05:42:36.000Z,#UK #BREXIT #EU #REMAINERS INDEPENDANT STUDY- Prof. Bill Mitchell -Dir. of Center for FULL EMPLOYMENT &amp;EQUITY-Author https://t.co/8b7mnUXQzZ,"['brexit', 'eu', 'remainers', 'uk']"
11,11,11,11,11,11,11,11,1044115,741922267014266880,61783235,negative,other,2016-06-12T09:17:07.000Z,#Remainers  say #BREXIT will see end of trade with #EU - but they have more trade with #UK &amp; any reduction will cause major collapse of EU,"['brexit', 'eu', 'uk', 'remainers']"
12,12,12,12,12,12,12,12,1922890,746278774136803328,714777010665562112,positive,other,2016-06-24T09:48:19.000Z,The #Remainers seem like really nice people #EURefResults #Brexit https://t.co/1ZdXa4H0cu,"['brexit', 'eurefresults', 'remainers']"
13,13,13,13,13,13,13,13,2383631,746646983893356544,2488415784,positive,other,2016-06-25T10:11:27.000Z,#ScotLond: #Remainers call for Scottish and Londoners to join forces https://t.co/hp7Qv8hSSd via @MailOnline #Brexit won #moveon,"['brexit', 'moveon', 'scotlond', 'remainers']"
14,14,14,14,14,14,14,14,1880518,746262816391299072,306797501,negative,leave,2016-06-24T08:44:54.000Z,"So #remainers saying #Brexit lied as no #NHS money &amp; #immigration not stopped

Don't thy understand that it takes at least 2 years to leave","['brexit', 'nhs', 'remainers', 'immigration']"
15,15,15,15,15,15,15,15,870596,738391108946911232,22505100,neutral,other,2016-06-02T15:25:33.000Z,Should #Remainers be concerned? @gareth_ham looks at the digital debate &amp; influencers around the #Brexit #referendum https://t.co/CQQbdYJrkx,"['brexit', 'referendum', 'remainers']"
16,16,16,16,16,16,16,16,1014260,741351161219952640,191932849,negative,other,2016-06-10T19:27:45.000Z,"I'm sceptical. #Brexit betting odds don't back this up. But if it gets apathetic #Remainers out to vote, that's good https://t.co/WBIA3bmgPp","['brexit', 'remainers']"
17,17,17,17,17,17,17,17,804428,736159076342738944,97764463,neutral,leave,2016-05-27T11:36:15.000Z,.@DiligentTruth @lacharpenta #Remainers can't handle the truth! #Brexit,"['brexit', 'remainers']"
18,18,18,18,18,18,18,18,1473701,745690314166444032,2959505489,neutral,other,2016-06-22T18:49:59.000Z,#BREXIT #REMAINERS Here's a shocker   https://t.co/5G8DQaYoOJ,"['brexit', 'remainers']"
19,19,19,19,19,19,19,19,2347333,746603091135434752,289292891,neutral,other,2016-06-25T07:17:02.000Z,#Remainers #Brexit was not the first leaf of Autumn but the first flower of Spring. We got our country back.,"['brexit', 'remainers']"
20,20,20,20,20,20,20,20,1399546,745313838300528640,2925009670,negative,other,2016-06-21T17:54:00.000Z,@MrHarryCole @LeaveEUOfficial They fought hard to prevent German domination of Europe and now #Remainers  want to sell us all out #Brexit,"['brexit', 'remainers']"
21,21,21,21,21,21,21,21,895166,739060441247322112,2885585955,negative,leave,2016-06-04T11:45:14.000Z,There's a lot of #remainers on here who spout democracy but have trouble coping with freedom of speech. Tad hypocritical #Brexit.,"['brexit', 'remainers']"
22,22,22,22,22,22,22,22,2206583,746414259022729216,540081118,negative,other,2016-06-24T18:46:41.000Z,"@SkyNewsBreak @faisalislam haven't you told him you, @BBCNews &amp; your fellow #REMAINERS think the #BREXIT vote is not fair &amp; want it changed","['brexit', 'remainers']"
23,23,23,23,23,23,23,23,1412218,745390230111293440,137469743,negative,leave,2016-06-21T22:57:34.000Z,"""I don't believe for 1 sec that @Lord_Sugar is racist the word that #remainers  have been throwing at #Brexit  has come back to them""#karma","['brexit', 'remainers']"
24,24,24,24,24,24,24,24,358610,711249844740947968,2645588238,neutral,other,2016-03-19T17:55:52.000Z,After #BRexit we must ensure NO #remainers are permitted in HoC. Start the deselection process in your constituencies NOW.,"['brexit', 'remainers']"
25,25,25,25,25,25,25,25,940542,740121851771379712,62043694,negative,remain,2016-06-07T10:02:54.000Z,"More lies based on biased conjecture -no proof, evidence or facts. #Remainers are corrupt &amp; public knows it. #Brexit https://t.co/s1oKKsLcD5","['brexit', 'remainers']"
26,26,26,26,26,26,26,26,1025259,741575097081810944,2885585955,negative,other,2016-06-11T10:17:35.000Z,So #remainers think us #Brexit are racist little Englanders.  It's gonna make for an awkward living arrangement after the referendum,"['brexit', 'remainers']"
27,27,27,27,27,27,27,27,1469370,745673970255560704,2959505489,positive,remain,2016-06-22T17:45:03.000Z,#REMAINERS #BREXIT  Be honest CHURCHILL didn't make decisions that gave Ubest living standard the world has ever seen based on corp. profits,"['brexit', 'remainers']"
28,28,28,28,28,28,28,28,2421885,746693517280481280,2466043429,neutral,other,2016-06-25T13:16:22.000Z,When #Remainers realised it was #Brexit. https://t.co/5WSVP970w2,"['brexit', 'remainers']"
29,29,29,29,29,29,29,29,1468363,745669676924010496,2959505489,neutral,other,2016-06-22T17:27:59.000Z,#BREXIT #REMAINERS  ......just facts........no comment https://t.co/h2cOFGC0XJ,"['brexit', 'remainers']"
30,30,30,30,30,30,30,30,1874582,746260532496310272,312830331,positive,remain,2016-06-24T08:35:50.000Z,It's that kind of condescending attitude from the EU &amp; the #Remainers that has lead to #Brexit - reap what you sow! https://t.co/17kNibGw7u,"['brexit', 'remainers']"
31,31,31,31,31,31,31,31,1144911,743047232249835520,2466043429,neutral,leave,2016-06-15T11:47:19.000Z,@chimeralockyer @iVoteStay World OUTSIDE EU is far bigger than EU. #Remainers really do need to brush up on their Geography. #Brexit,"['brexit', 'remainers']"
32,32,32,32,32,32,32,32,2435027,746711194422116352,540081118,positive,leave,2016-06-25T14:26:36.000Z,@ChukaUmunna @Chris_Cohen in the same way #REMAINERS aren't even accepting #BREXIT &amp; have so far started a petition &amp; marched in London,"['brexit', 'remainers']"
33,33,33,33,33,33,33,33,1022061,741536199949615104,2487131,negative,other,2016-06-11T07:43:01.000Z,Surely #Remainers may need to shout down &amp; insult #Brexit supporters some more to make them change their minds.,"['brexit', 'remainers']"
34,34,34,34,34,34,34,34,1272970,744462127096827904,1003861819,positive,leave,2016-06-19T09:29:37.000Z,"#Remainers who watch 
Kitchen nightmares .. 
""Who the fk does he think he is .. trying to change that restaurant.. it was fine! 

#Brexit","['brexit', 'remainers']"
35,35,35,35,35,35,35,35,858296,738076880524464128,929418103,negative,leave,2016-06-01T18:36:55.000Z,#Remainers moan #Brexit threatens the City (main assets are the English language &amp; GMT - we tell the world the time!). Neither will change!,"['brexit', 'remainers']"
36,36,36,36,36,36,36,36,816492,736770699268784128,340279079,neutral,other,2016-05-29T04:06:37.000Z,"Lol, the #remainers getting ever more desperate with their scaremongering lies #BREXIT https://t.co/jMTPiwHsgy","['brexit', 'remainers']"
37,37,37,37,37,37,37,37,1959373,746293256951070720,265927251,negative,leave,2016-06-24T10:45:52.000Z,#Remainers can't face it they've lost. Sturgeon and London Mayor Sadiq Khan should respect UK majority decision for #Brexit.,"['brexit', 'remainers']"
38,38,38,38,38,38,38,38,79263,699256463747842048,929074530,negative,leave,2016-02-15T15:38:27.000Z,"There is no positive argument the #remainers can make.

You can't espouse the benefits of a super-state you've been denying for yrs
#Brexit","['brexit', 'remainers']"
39,39,39,39,39,39,39,39,855585,738016095630725120,409210532,negative,leave,2016-06-01T14:35:23.000Z,#Remainers dream of lots of nations under their ideological rule.  #Brexit would limit them to Britain only.  Selfish greedy power hungry,"['brexit', 'remainers']"
40,40,40,40,40,40,40,40,607462,728297652950020096,160122131,neutral,leave,2016-05-05T18:57:46.000Z,And #Remainers say that the EU upholds democratic values? #Brexit needed https://t.co/hm8lGpRPCI,"['brexit', 'remainers']"
41,41,41,41,41,41,41,41,908461,739436430074732544,65978348,negative,other,2016-06-05T12:39:17.000Z,"#Brexit Some of the #remainers just don't engage their brains....#CarolineLucas a prime example, in my opinion","['brexit', 'remainers']"
42,42,42,42,42,42,42,42,809983,736443337067106304,2828238915,negative,leave,2016-05-28T06:25:48.000Z,@LeaveEUOfficial @wdjstraw he should be ashamed of that comment Each day the #remainers scrape the barrel deeper. #Brexit,"['brexit', 'remainers']"
43,43,43,43,43,43,43,43,474863,720122787881435136,201376183,positive,leave,2016-04-13T05:33:46.000Z,"#Remainers who have tracker mortgages are to vote for an interest rate rise, this article would suggest. #Brexit https://t.co/t4nYdhVLgz","['brexit', 'remainers']"
44,44,44,44,44,44,44,44,2358766,746617585978982400,1583920904,positive,leave,2016-06-25T08:14:38.000Z,"#Remainers behaving like spoilt children. Democracy has spoken and we have #Brexit.
Respect the majority and lets get on with it.","['brexit', 'remainers']"
45,45,45,45,45,45,45,45,2121171,746362867398623232,2189056412,positive,leave,2016-06-24T15:22:28.000Z,#remainers trying to overturn the democratic process as it does not suit them over #Brexit result! Now that is democracy at its best!,"['brexit', 'remainers']"
46,46,46,46,46,46,46,46,1474726,745693909288894464,1114223161,neutral,other,2016-06-22T19:04:16.000Z,@BreitbartLondon @2tweetaboutit come on #Remainers look at junckers finger it's poking u in the eye ! U can't reform eu from within #Brexit,"['brexit', 'remainers']"
47,47,47,47,47,47,47,47,526246,723006439661441024,590354014,negative,leave,2016-04-21T04:32:22.000Z,#Remainers use the threat of job losses to scare people into voting IN as if there'd never been any job losses in the last 50 years! #Brexit,"['brexit', 'remainers']"
48,48,48,48,48,48,48,48,622162,729560707914698752,160122131,negative,leave,2016-05-09T06:36:42.000Z,"#Remainers must be quaking in their boots that Switzerland, Norway or Iceland are about to start a European war #Brexit","['brexit', 'remainers']"
49,49,49,49,49,49,49,49,1470988,745680150382153728,2959505489,negative,leave,2016-06-22T18:09:36.000Z,#BREXIT #REMAINERS TURKEY 2B admitted 2EU(⚠️ INSULTING TurkishLEADER ?➡️CRIME IN GERMANY &amp;WILL BE PROSECUTED  https://t.co/ZmnsSeuQsb,"['brexit', 'remainers']"
50,50,50,50,50,50,50,50,1001794,741202044103577600,719939067136385024,positive,leave,2016-06-10T09:35:12.000Z,"@Vote_LeaveMedia @interimspace @JohnMannMP Can't understand #remainers saying they'll reform EU from within, this chance has expired #Brexit","['brexit', 'remainers']"
51,51,51,51,51,51,51,51,827699,737240477372669952,2828238915,negative,other,2016-05-30T11:13:21.000Z,@LadyMercia @HuwGruffydd #Remainers are only concerned about phone roaminng charges for their one week getting burnt #Brexit,"['brexit', 'remainers']"
52,52,52,52,52,52,52,52,965851,740582395720695808,733207233736155008,neutral,other,2016-06-08T16:32:57.000Z,SO HERE'S MY QUESTION. HOW STUPID WILL THE #REMAINERS  FEEL IF LEAVE WINS AND PRODUCES ALL THE DOCS WHICH PM IS HIDING FROM #BREXIT CAMP?,"['brexit', 'remainers']"
53,53,53,53,53,53,53,53,264970,705690812089298944,101598139,neutral,other,2016-03-04T09:46:15.000Z,How long before the IN campaign suggests giant rats will invade? Lies &amp; doom-mongering of the #Remainers https://t.co/R0QXP3grBg #Brexit,"['brexit', 'remainers']"
54,54,54,54,54,54,54,54,260379,705461603697868800,4904820549,positive,leave,2016-03-03T18:35:27.000Z,Tiresome that every #Brexit risk identified by #remainers is rubbished as scaremongering. Dissent if you like but please argue rationally.,"['brexit', 'remainers']"
55,55,55,55,55,55,55,55,2438405,746715995365064704,296387250,neutral,leave,2016-06-25T14:45:41.000Z,"@ejwwest @jonsnowC4 @janepontefract Yep, definatley best decision UK ever made #Brexit. #Remainers so scared of change, like abused partners","['brexit', 'remainers']"
56,56,56,56,56,56,56,56,727761,733653271047372800,719939067136385024,negative,leave,2016-05-20T13:39:05.000Z,"Is this #remainers causing trouble or is this real?  If he said this, this has to be a plus for the #Brexit vote! https://t.co/VCIekD2o3d","['brexit', 'remainers']"
57,57,57,57,57,57,57,57,898074,739111880380284928,2966824241,positive,leave,2016-06-04T15:09:38.000Z,@suemcdonald342 @PollstationUK #Remainers R at it!!! Shows overwhelming support 4 #Brexit &amp; they carnt have that!! Won't bode well 4 result!,"['brexit', 'remainers']"
58,58,58,58,58,58,58,58,1407385,745353644254572544,2979912988,negative,other,2016-06-21T20:32:11.000Z,Well that's the full house of all #remainers on the panel losing the plot and shout like a dickhead #BBCDebate Well done Sadiq #Brexit,"['brexit', 'remainers', 'bbcdebate']"
59,59,59,59,59,59,59,59,1537590,745953822011494400,2483875524,negative,other,2016-06-23T12:17:04.000Z,"#remainers have no respect for others, and they are still leafleting houses. So #Brexit #Brexiteers still may put leaflets out accordingly.","['brexit', 'remainers', 'brexiteers']"
60,60,60,60,60,60,60,60,1485624,745740510812319744,32893413,neutral,leave,2016-06-22T22:09:27.000Z,#REMAINERS : Using the democratic vote to vote for the abolition of democracy. Now that's a SPECIAL KIND OF STUPID. #JustSaying #Brexit,"['brexit', 'remainers', 'justsaying']"
61,61,61,61,61,61,61,61,1559841,746023228833935360,93113602,positive,other,2016-06-23T16:52:52.000Z,Any #Remainers use a pen or just #Brexit convinced that it's 'rigged' and all votes will be rubbed out and changed? #Laughable,"['brexit', 'remainers', 'laughable']"
62,62,62,62,62,62,62,62,218548,703562856361545728,610075143,negative,leave,2016-02-27T12:50:31.000Z,"#Remainers or #remainders puzzle me.  Only beneficiaries are politicians joining Brussels &amp; those taking bribes, sod the rest of us #Brexit","['brexit', 'remainers', 'remainders']"
63,63,63,63,63,63,63,63,1094540,742633396300619776,136261567,negative,other,2016-06-14T08:22:53.000Z,"Obviously if #Remainers find they're unable or unwilling to fund #agriculture, #research &amp; #regionalaid post #Brexit, they need to step down","['brexit', 'research', 'agriculture', 'remainers', 'regionalaid']"
64,64,64,64,64,64,64,64,1537719,745954107056394240,137469743,negative,other,2016-06-23T12:18:12.000Z,"""See the #Remainers are as hate filled as ever you are a 'Wacist"" if you don't do as I tell you got it! a ""Wacist"" #thugsontwitter"" #Brexit","['brexit', 'thugsontwitter""', 'remainers']"
65,65,65,65,65,65,65,65,2452425,746736448536215552,1360011338,negative,leave,2016-06-25T16:06:57.000Z,"Will #remainers demand endless  #EUreferendum until they get the result they want? Really democratic, that 👏👏 #Brexit #VoteLeave","['brexit', 'voteleave', 'eureferendum', 'remainers']"
66,66,66,66,66,66,66,66,1043048,741912753770778624,1967255017,positive,leave,2016-06-12T08:39:19.000Z,"Funny how #Remainers talk about the EU and the ""single market"" as if they're one and the same. #VoteLeave #Brexit","['brexit', 'voteleave', 'remainers']"
67,67,67,67,67,67,67,67,792905,735864530731929600,2151002491,negative,leave,2016-05-26T16:05:50.000Z,.@StrongerIn When are you going to inform #Remainers that it is against the law to criticize the EU ! Tell the truth #Brexit #VoteLeave,"['brexit', 'voteleave', 'remainers']"
68,68,68,68,68,68,68,68,1015859,741374078880260096,1114223161,negative,leave,2016-06-10T20:58:49.000Z,@mobaasitFEN @iVoteLeave so #Brexit are xenophobic ! But it seems #remainers are homophobics ? And they say #VoteLeave are stupid ! #Brexit,"['brexit', 'voteleave', 'remainers']"
69,69,69,69,69,69,69,69,1489231,745762349483720704,15748766,negative,leave,2016-06-22T23:36:14.000Z,@NoThankEU2016 @_johnhorn @LouiseMensch @David_Cameron #Brexit #VoteLeave you belive that you are another scared #remainers,"['brexit', 'voteleave', 'remainers']"
70,70,70,70,70,70,70,70,924450,739789573929246720,281519746,negative,leave,2016-06-06T12:02:33.000Z,"@EUVoteLeave23rd @MyEngland2 The usual deceit from #Remainers Unsurprising, seeing how the EU was founded on deceit. #VoteLeave for #Brexit","['brexit', 'voteleave', 'remainers']"
71,71,71,71,71,71,71,71,714081,732993381207408640,151101551,negative,leave,2016-05-18T17:56:55.000Z,"You fail to notice that if the #remainers see this some will think they don't need to vote to win
#Brexit
#VoteLeave https://t.co/hIWc4Ja76y","['brexit', 'voteleave', 'remainers']"
72,72,72,72,72,72,72,72,867858,738338318061043712,701866563268378624,positive,leave,2016-06-02T11:55:47.000Z,#Remainers left floundering in wake of #VoteLeave #immigration proposals because they know it's popular and requires that we #Brexit. #BBC,"['brexit', 'voteleave', 'remainers', 'bbc', 'immigration']"
73,73,73,73,73,73,73,73,252625,705284776907907072,823450616,negative,other,2016-03-03T06:52:49.000Z,Leader of the #Remainers #BSE Lord Rose says it's a bad thing if low paid British workers get a pay rise.  https://t.co/rcidwlGuER #Brexit,"['bse', 'brexit', 'remainers']"
74,74,74,74,74,74,74,74,788831,735757591909785600,26389147,neutral,leave,2016-05-26T09:00:54.000Z,Only patriots are #Leavers? https://t.co/QERBiiorsj #Brexit #EU #Remainers https://t.co/VSaLIgDrKo,"['eu', 'brexit', 'leavers?', 'remainers']"
75,75,75,75,75,75,75,75,406031,714939571163803648,89286004,negative,leave,2016-03-29T22:17:31.000Z,Labour #Remainers very quiet on steel intervention tonight. Must be all those pesky #EU rules getting in way! #Brexit @vote_leave,"['eu', 'brexit', 'remainers']"
76,76,76,76,76,76,76,76,689567,732133530554241024,296171890,positive,leave,2016-05-16T09:00:10.000Z,#Remainers want to talk about absolutely *anything* except the nature and future direction of the #EU.  #Brexit,"['eu', 'brexit', 'remainers']"
77,77,77,77,77,77,77,77,1975831,746299915417042944,1729631856,positive,leave,2016-06-24T11:12:20.000Z,"I can understand #EU apologists &amp; #Remainers being in denial about #Brexit. 
It's consistent with the undemocratic #EU they covet so dearly","['eu', 'brexit', 'remainers']"
78,78,78,78,78,78,78,78,808703,736316790536572928,97764463,negative,remain,2016-05-27T22:02:57.000Z,".@TruthSite #Remainers seem caught in a horrible trap of Cognitive Dissonance - they see #EU through a rosy glow, don't see reality. #Brexit","['eu', 'brexit', 'remainers']"
79,79,79,79,79,79,79,79,655003,730851178486104064,939374856,negative,leave,2016-05-12T20:04:34.000Z,"#EU falling apart, others want out. If #remainers are right, we'd have to stop selling them our stuff. That'll teach them! #Brexit first!","['eu', 'brexit', 'remainers']"
80,80,80,80,80,80,80,80,624308,729604757564854272,2959505489,negative,leave,2016-05-09T09:31:44.000Z,#UK #EU #BREXIT #REMAINERS FORGET THE FEAR! LOOK AT THE GRAPH OF UK TRADE BALANCE=EU=Dragging you DOWN! https://t.co/SGWL9wj5ZQ,"['eu', 'brexit', 'remainers', 'uk']"
81,81,81,81,81,81,81,81,631401,729916398596702208,2959505489,negative,leave,2016-05-10T06:10:05.000Z,"#UK #EU #BREXIT #REMAINERS U THINK EU NATIONS WILL RECOVER AMAZINGLY WELL(?)(?).hmm-THEN,-&gt;No RISK 2STAY----&gt;WHAT IF THEY DONT?&gt;UK GETS 2PAY","['eu', 'brexit', 'remainers', 'uk']"
82,82,82,82,82,82,82,82,624648,729612821735018496,2959505489,neutral,other,2016-05-09T10:03:46.000Z,"#UK #EU #BREXIT #REMAINERS Fortune Magazine: ""WHY UK SHOULD LEAVE EU""-&gt;""EU IS BROKEN"" https://t.co/XDQxbk15f4","['eu', 'brexit', 'remainers', 'uk']"
83,83,83,83,83,83,83,83,624904,729618988653760512,2959505489,negative,remain,2016-05-09T10:28:17.000Z,#UK #EU #BREXIT #REMAINERS  SO B A D !!!!WATCH SPEECH TODAY! EVERY BANKER-EUROPE KNOWS=&gt;WILL DESTROY NATIONS in EU!! https://t.co/GZXgONXwzJ,"['eu', 'brexit', 'remainers', 'uk']"
84,84,84,84,84,84,84,84,631480,729919352720502784,2959505489,neutral,leave,2016-05-10T06:21:49.000Z,"#EU #UK #BREXIT #REMAINERS EU KNOWS 2GRAB-&gt;COUNTRY w/CONSCIENCE!-&gt; £'s AND(news flash:)TURKEY=VeryBUSY gettin""FANCY"" https://t.co/ssXQZkhbk8","['eu', 'brexit', 'remainers', 'uk']"
85,85,85,85,85,85,85,85,638804,730262343289085952,2959505489,neutral,leave,2016-05-11T05:04:44.000Z,"#UK #EU #BREXIT #REMAINERS ""And All Was Foretold.""OOPS!:) PROJECT FEAR-&gt;PREDICTED BY James Forsythe/SPECTATOR-1/2016 https://t.co/tVlSJqfAOJ","['eu', 'brexit', 'remainers', 'uk']"
86,86,86,86,86,86,86,86,631426,729917067516887040,2959505489,negative,leave,2016-05-10T06:12:44.000Z,"#UK #EU #BREXIT #REMAINERS Funny; we always think of the risk- when buying a house,car, get new job...WHAT ABOUT THE RISKS OF DOING NOTHING?","['eu', 'brexit', 'remainers', 'uk']"
87,87,87,87,87,87,87,87,645038,730470564280832000,2959505489,positive,leave,2016-05-11T18:52:08.000Z,"#UK #EU #BREXIT #REMAINERS EU Demands""preferential treatment""&gt; ""Take care of tourists before citizens so Ucan pay EU""https://t.co/JNadKbu7K5","['eu', 'brexit', 'remainers', 'uk']"
88,88,88,88,88,88,88,88,645001,730468617222017024,2959505489,negative,remain,2016-05-11T18:44:24.000Z,"#UK #EU #BREXIT #REMAINERS ""Never-Ending""EuropeanBANKING CRISIS"".policy responses can NO LONGER be from CentralBank"" https://t.co/w69yk82gXF","['eu', 'brexit', 'remainers', 'uk']"
89,89,89,89,89,89,89,89,624765,729615490335834112,2959505489,neutral,leave,2016-05-09T10:14:23.000Z,#UK #EU #BREXIT #REMAINERS Notice anything ALL PHOTOS POSTEDHAVE IN COMMON?-&gt;NO ONE LISTENS TO CAMERON! EVER!! https://t.co/hymUA0Of1e,"['eu', 'brexit', 'remainers', 'uk']"
90,90,90,90,90,90,90,90,645085,730473005994881024,2959505489,negative,leave,2016-05-11T19:01:50.000Z,"#UK #EU #BREXIT #REMAINERS EU 3 NEW DIRECTIVES-IN EFFECT AS OF 2DAY(Hey, Brits! No one told you this either, right?) https://t.co/tuori8hpXe","['eu', 'brexit', 'remainers', 'uk']"
91,91,91,91,91,91,91,91,624509,729609307084468224,2959505489,neutral,other,2016-05-09T09:49:48.000Z,#UK #EU #BREXIT #REMAINERS Yeessss!...Independant RESEARCH SHOWS! UK=FINE for BREXIT!  https://t.co/YIoFm5qDsi,"['eu', 'brexit', 'remainers', 'uk']"
92,92,92,92,92,92,92,92,677444,731709391481769984,2959505489,negative,other,2016-05-15T04:54:48.000Z,#UK #EU #BREXIT #REMAINERS BRITS-Make efforts toDetermine facts -US &amp; EURO HATE GROUPS JOIN toCONFUSE+Gain Influence https://t.co/1NJQbdyIHm,"['eu', 'brexit', 'remainers', 'uk']"
93,93,93,93,93,93,93,93,645216,730477803255287808,2959505489,neutral,leave,2016-05-11T19:20:54.000Z,#UK #EU #BREXIT #REMAINERS If it wasn't true; the issue wouldn't even be in question-&gt;  https://t.co/EXXKBHNqR8,"['eu', 'brexit', 'remainers', 'uk']"
94,94,94,94,94,94,94,94,624595,729611724891037696,2959505489,negative,leave,2016-05-09T09:59:25.000Z,#UK #EU #BREXIT #REMAINERS TRULY! WOULD YOU BE CAUGHT DEAD Listening to this guy when you were in school? https://t.co/kvOvOWY9dk,"['eu', 'brexit', 'remainers', 'uk']"
95,95,95,95,95,95,95,95,645070,730472560647876608,2959505489,neutral,other,2016-05-11T19:00:04.000Z,"#UK #EU #BREXIT #REMAINERS &gt;""EU as of May 11,'16=RULES NOW IN EFFECT""""..member states &amp;their public authorities must comply-SEE 3 DIRECTIVES","['eu', 'brexit', 'remainers', 'uk']"
96,96,96,96,96,96,96,96,668547,731357856038039552,2959505489,negative,other,2016-05-14T05:37:55.000Z,#UK #EU #BREXIT #REMAINERS EU ENLARGEMENT= FOR  &amp; AGAINST (fyi: Doesn't matter which side U're on-getting BIGGER)  https://t.co/KyrRfn2nsV,"['eu', 'brexit', 'remainers', 'uk']"
97,97,97,97,97,97,97,97,682198,731820379258359808,2959505489,neutral,other,2016-05-15T12:15:49.000Z,"#UK #EU #BREXIT #REMAINERS CONSIDER Financials Realities of current debate+""Project FEAR""=&amp;BRITS not talking about-&gt; https://t.co/xo9eFCbX1x","['eu', 'brexit', 'remainers', 'uk']"
98,98,98,98,98,98,98,98,965557,740577259925479424,387631477,neutral,leave,2016-06-08T16:12:32.000Z,The more the #Remainers tell us we are gonna struggle without the #EU The more determined I am to #brexit. Lily livered sheep! #ThisIsGB,"['eu', 'brexit', 'thisisgb', 'remainers']"
99,99,99,99,99,99,99,99,860480,738154857543041024,701866563268378624,positive,other,2016-06-01T23:46:46.000Z,#Brexiteers are offering a positive vision of life outside the #EU whilst #Remainers peddle images of apocalypse and #ProjectFear! #Brexit,"['eu', 'brexiteers', 'projectfear', 'remainers', 'brexit']"
