,t_stance,size,Date
168,leave,16966,2018-02-23
169,other,80594,2018-02-23
170,remain,31018,2018-02-23
171,leave,15386,2018-03-09
172,other,70897,2018-03-09
173,remain,27012,2018-03-09
174,leave,16787,2018-03-23
175,other,64312,2018-03-23
176,remain,29181,2018-03-23
177,leave,12571,2018-04-06
178,other,53417,2018-04-06
179,remain,22886,2018-04-06
180,leave,17164,2018-04-20
181,other,68685,2018-04-20
182,remain,30755,2018-04-20
183,leave,36034,2018-05-04
184,other,147122,2018-05-04
185,remain,69749,2018-05-04
186,leave,39354,2018-05-18
187,other,163441,2018-05-18
188,remain,79410,2018-05-18
189,leave,56872,2018-06-01
190,other,232801,2018-06-01
191,remain,104566,2018-06-01
192,leave,64693,2018-06-15
193,other,267164,2018-06-15
194,remain,129558,2018-06-15
195,leave,69564,2018-06-29
196,other,287781,2018-06-29
197,remain,132580,2018-06-29
198,leave,73810,2018-07-13
199,other,317321,2018-07-13
200,remain,150531,2018-07-13
201,leave,57577,2018-07-27
202,other,236408,2018-07-27
203,remain,124759,2018-07-27
204,leave,52578,2018-08-10
205,other,202292,2018-08-10
206,remain,114361,2018-08-10
207,leave,52778,2018-08-24
208,other,221312,2018-08-24
209,remain,108070,2018-08-24
210,leave,62131,2018-09-07
211,other,249236,2018-09-07
212,remain,121215,2018-09-07
213,leave,74942,2018-09-21
214,other,329309,2018-09-21
215,remain,163187,2018-09-21
216,leave,59199,2018-10-05
217,other,281582,2018-10-05
218,remain,110712,2018-10-05
219,leave,73297,2018-10-19
220,other,303180,2018-10-19
221,remain,149660,2018-10-19
222,leave,69819,2018-11-02
223,other,330672,2018-11-02
224,remain,149763,2018-11-02
225,leave,83085,2018-11-16
226,other,395799,2018-11-16
227,remain,151234,2018-11-16
228,leave,78555,2018-11-30
229,other,387327,2018-11-30
230,remain,172106,2018-11-30
231,leave,39352,2018-12-14
232,other,167489,2018-12-14
233,remain,86347,2018-12-14
234,leave,38543,2018-12-28
235,other,153390,2018-12-28
236,remain,75914,2018-12-28
237,leave,57541,2019-01-11
238,other,241373,2019-01-11
239,remain,105883,2019-01-11
240,leave,42824,2019-01-25
241,other,186051,2019-01-25
242,remain,84309,2019-01-25
243,leave,36944,2019-02-08
244,other,162767,2019-02-08
245,remain,77459,2019-02-08
246,leave,34267,2019-02-22
247,other,160074,2019-02-22
248,remain,68552,2019-02-22
249,leave,57980,2019-03-08
250,other,259431,2019-03-08
251,remain,110929,2019-03-08
252,leave,87389,2019-03-22
253,other,334927,2019-03-22
254,remain,157611,2019-03-22
255,leave,52511,2019-04-05
256,other,189231,2019-04-05
257,remain,87954,2019-04-05
258,leave,37629,2019-04-19
259,other,113240,2019-04-19
260,remain,64021,2019-04-19
261,leave,45765,2019-05-03
262,other,159745,2019-05-03
263,remain,100262,2019-05-03
264,leave,66978,2019-05-17
265,other,234124,2019-05-17
266,remain,155754,2019-05-17
267,leave,42832,2019-05-31
268,other,166738,2019-05-31
269,remain,99806,2019-05-31
270,leave,35058,2019-06-14
271,other,133199,2019-06-14
272,remain,86636,2019-06-14
273,leave,35951,2019-06-28
274,other,129775,2019-06-28
275,remain,85797,2019-06-28
276,leave,37581,2019-07-12
277,other,139352,2019-07-12
278,remain,99666,2019-07-12
279,leave,44191,2019-07-26
280,other,170981,2019-07-26
281,remain,115227,2019-07-26
282,leave,48374,2019-08-09
283,other,186773,2019-08-09
284,remain,118335,2019-08-09
285,leave,66524,2019-08-23
286,other,257266,2019-08-23
287,remain,177303,2019-08-23
288,leave,50806,2019-09-06
289,other,206724,2019-09-06
290,remain,139570,2019-09-06
291,leave,40312,2019-09-20
292,other,154665,2019-09-20
293,remain,100313,2019-09-20
